Calories,Cholesterol (mg)
660.0,90.0
740.0,115.0
790.0,125.0
900.0,175.0
980.0,195.0
1130.0,255.0
1220.0,280.0
310.0,40.0
1150.0,240.0
1190.0,235.0
580.0,105.0
900.0,210.0
700.0,125.0
1050.0,235.0
630.0,10.0
240.0,35.0
280.0,45.0
350.0,70.0
390.0,85.0
630.0,100.0
320.0,55.0
420.0,90.0
670.0,60.0
700.0,65.0
660.0,75.0
800.0,95.0
790.0,80.0
450.0,30.0
390.0,30.0
170.0,25.0
260.0,35.0
430.0,55.0
860.0,115.0
210.0,20.0
320.0,35.0
530.0,55.0
1050.0,110.0
280.0,35.0
170.0,10.0
510.0,30.0
170.0,25.0
260.0,35.0
240.0,35.0
280.0,45.0
340.0,160.0
500.0,195.0
370.0,175.0
370.0,170.0
610.0,225.0
580.0,215.0
710.0,240.0
580.0,220.0
640.0,225.0
400.0,175.0
530.0,195.0
400.0,170.0
420.0,35.0
370.0,150.0
780.0,355.0
930.0,390.0
900.0,380.0
610.0,80.0
250.0,0.0
500.0,0.0
670.0,0.0
230.0,0.0
380.0,0.0
40.0,10.0
10.0,0.0
80.0,10.0
30.0,0.0
120.0,0.0
40.0,0.0
140.0,10.0
80.0,5.0
150.0,20.0
90.0,10.0
